study,split,mean,std,count,median,min,max,sum
study1,test,713.7,442.7610466656303,10,501.5,277,1512,7137
study1,test_a01,4.587301587301587,3.8256495253442497,378,4.0,0,24,1734
study1,test_a02,4.380622837370242,4.296369384550682,289,3.0,0,28,1266
study1,test_a03,6.107142857142857,6.145740790997442,56,4.5,0,39,342
study1,test_b01,13.754966887417218,13.944158579810274,151,7.0,0,83,2077
study1,test_b02,0.6941747572815534,1.2643961437521498,206,0.0,0,11,143
study1,test_b03,713.7,442.7610466656303,10,501.5,277,1512,7137
study1,train,9.20020964360587,7.37076553934267,954,7.0,4,59,8777
study2,test,689.5,467.56359384121674,8,481.0,277,1512,5516
study2,test_2x2,172.40625,126.30757629946494,32,146.5,27,502,5517
study2,test_2x4,86.28125,70.39716551608035,64,55.0,3,359,5522
study2,test_4x10,17.253125,22.486115317086046,320,9.0,0,135,5521
study2,test_4x4,43.15625,39.76455064739165,128,29.0,0,188,5524
study2,test_8x10,8.628125,14.29027782435805,640,3.0,0,112,5522
study2,train,10.249217282404508,8.813680252879706,1597,7.0,4,83,16368
study2,val,32.66778523489933,84.43466405492595,298,12.0,0,1135,9735
